id_key,Latitude,Longitude,ISO_Code,Country,Type,Avg_Temp_K,Ellipticity,BCM_2012,BCM_2013,BCM_2014,BCM_2015,BCM_2016,Clear_obs_2012,Clear_obs_2013,Clear_obs_2014,Clear_obs_2015,Clear_obs_2016,Detection_frequency_2012,Detection_frequency_2013,Detection_frequency_2014,Detection_frequency_2015,Detection_frequency_2016
VNF_e2016_n6018_x0002371W_y358082N_v1.0,35.808225,-0.237145,DZA,Algeria,gas downstream,1697.64,1.75997,0,0,0,0,0.203313555,0,0,0,0,341,0,0,0,0,98.827
VNF_e2016_n6017_x0002543W_y358090N_v1.0,35.80904,-0.254336,DZA,Algeria,gas downstream,1700.85,2.24052,0,0,0,0,0.162216419,0,0,0,0,330,0,0,0,0,98.7879
VNF_e2016_n13112_x1130705E_y032787N_v1.0,3.278664,113.070451,MYS,Malaysia,gas downstream,1719.28,4.56296,0,0,0,0,0.094151802,0,0,0,0,72,0,0,0,0,93.0556
VNF_e2016_n6759_x0195794E_y304097N_v1.0,30.409656,19.579414,LBY,Libya,gas downstream,1613.92,1.49124,0,0,0,0,0.010785231,0,0,0,0,396,0,0,0,0,38.8889
VNF_e2016_n12933_x1036642E_y012628N_v1.0,1.262833,103.664204,SGP,Singapore,gas downstream,1301.4,1.6015,0,0,0,0,0.006536766,0,0,0,0,117,0,0,0,0,23.0769
VNF_e2016_n6122_x0069299E_y628476N_v1.0,62.847579,6.929879,NOR,Norway,gas downstream,1726.62,1.6015,0,0,0,0,0.004171795,0,0,0,0,244,0,0,0,0,2.45902
VNF_e2016_n13455_x1264915E_y364144N_v1.0,36.414352,126.491529,KOR,South Korea,gas downstream,1778.7,1.6015,0,0,0,0,0.003757977,0,0,0,0,265,0,0,0,0,6.03774
VNF_e2016_n13128_x1144307E_y047148N_v1.0,4.714821,114.430651,BRN,Brunei,gas downstream,1810,1.6015,0,0,0,0,0.001201119,0,0,0,0,69,0,0,0,0,2.89855
VNF_e2016_n13131_x1144898E_y046725N_v1.0,4.672533,114.489807,BRN,Brunei,gas downstream,1956,1.6015,0,0,0,0,0.000496239,0,0,0,0,85,0,0,0,0,1.17647
VNF_e2016_n6153_x0235528E_y706901N_v1.0,70.69007,23.552811,NOR,Norway,gas downstream,1851.89,1.6015,0,0,0,0,0.000432904,0,0,0,0,281,0,0,0,0,1.06762
VNF_e2016_n9062_x0516099E_y259175N_v1.0,25.91746,51.609893,QAT,Qatar,gas downstream,1293.16,1.6015,0,0,0,0,0,0,0,0,0,370,0,0,0,0,7.02703
VNF_e2012-2015_n10717_x0957457W_y290473N_v1.0,29.047273,-95.745667,USA,United States,gas downstream,1819.33,1.6015,0.000399938,6.71E-05,0.000645751,5.39E-05,0,232,242,258,244,0,0.862069,0.413223,0.775194,0.409836,0
VNF_e2012-2015_n10894_x0938744W_y297590N_v1.0,29.759004,-93.874439,USA,United States,gas downstream,1683.48,3.36643,0,0.000742449,8.15E-05,0.024599164,0.060055357,205,246,262,253,272,0,0.813008,0.381679,9.09091,56.6176
VNF_e2012-2015_n11114_x1042593W_y190089N_v1.0,19.008916,-104.259269,MEX,Mexico,gas downstream,1698.64,1.6015,0.019544167,0.000696529,0,0,0,157,186,206,198,0,24.8408,1.6129,0,0,0
VNF_e2012-2015_n12608_x0616970W_y101833N_v1.0,10.183325,-61.697031,TTO,Trinidad and Tobago,gas downstream,1521.95,1.33696,0.116571037,0.11632271,0.090369668,0.088182576,0.066524465,201,265,288,280,251,99.5025,98.1132,97.9167,99.2857,98.4064
VNF_e2012-2015_n12861_x0763012W_y132445S_v1.0,-13.244472,-76.301221,PER,Peru,gas downstream,1689.25,0.902776,0.002170728,0.00212093,0.002683296,0.004546427,0.002836618,230,297,273,289,304,6.52174,2.6936,4.3956,11.7647,5.92105
VNF_e2012-2015_n14173_x0002696W_y358132N_v1.0,35.813231,-0.26964,DZA,Algeria,gas downstream,1679.58,2.26963,0.190880211,0.19317268,0.18162022,0.147211459,0.144366273,239,316,316,317,323,100,99.0506,99.3671,99.6845,97.5232
VNF_e2012-2015_n14174_x0002476W_y358088N_v1.0,35.808831,-0.247605,DZA,Algeria,gas downstream,1682.57,1.91864,0.333429533,0.375686112,0.609112909,0.356421738,0,240,317,334,328,0,100,99.6845,100,100,0
VNF_e2012-2015_n14175_x0002168W_y396305N_v1.0,39.630471,-0.216841,ESP,Spain,gas downstream,1720.46,2.52256,0,0.023143079,0.027470093,0.000855719,0,287,348,337,348,0,0,29.5977,25.2226,1.14943,0
VNF_e2012-2015_n14176_x0002148W_y358035N_v1.0,35.803537,-0.214846,DZA,Algeria,gas downstream,1680.89,1.6015,0.04445688,0.057964837,0.103965097,0.074795847,0.074804946,224,324,311,317,322,99.5536,99.0741,99.6785,99.6845,97.5155
VNF_e2012-2015_n14177_x0001827W_y357994N_v1.0,35.799402,-0.18268,DZA,Algeria,gas downstream,1496.62,0.974951,0.004600085,0.001380536,0.008988182,0.033064393,0.032891211,237,329,334,322,324,14.346,3.95137,29.0419,78.2609,90.4321
VNF_e2012-2015_n14369_x0235980E_y706892N_v1.0,70.689246,23.59796,NOR,Norway,gas downstream,1790.77,1.6015,0.021137418,0.023455836,0.030002582,0.038156845,0.017810461,237,308,341,260,328,20.2532,34.7403,27.566,29.2308,33.2317
VNF_e2012-2015_n14689_x0186649E_y501599N_v1.0,50.159901,18.664944,POL,Poland,gas downstream,1622.99,0.622083,0.004305938,0.002757212,0.002362808,0.002997147,0.003279611,259,260,247,272,279,16.2162,9.23077,9.31174,11.0294,12.1864
VNF_e2012-2015_n15111_x0108244E_y365315N_v1.0,36.531478,10.824441,TUN,Tunisia,gas downstream,1829.22,1.89032,0.003173441,0.000828982,0.004904152,0.011722238,0.002128941,304,340,366,360,359,9.53947,2.64706,13.9344,36.6667,6.96379
VNF_e2012-2015_n15188_x0195977E_y304070N_v1.0,30.406978,19.597718,LBY,Libya,gas downstream,1645.32,3.1182,0.14533228,0.077781634,0.119076315,0.127567844,0.10192888,323,382,395,387,381,98.7616,97.9058,98.9873,98.9664,97.3753
VNF_e2012-2015_n15189_x0196108E_y304028N_v1.0,30.402844,19.610837,LBY,Libya,gas downstream,1620.61,1.17505,0.076469261,0.093044607,0.191700627,0.214810831,0.160242136,318,384,390,384,384,96.2264,96.875,97.4359,95.8333,96.875
VNF_e2012-2015_n15282_x0234005E_y379616N_v1.0,37.961644,23.400542,GRC,Greece,gas downstream,1767.38,1.99683,0.004507828,0.011143544,0.013470121,0.023710121,0.010986065,318,397,341,358,362,10.6918,24.937,31.085,48.6034,19.8895
VNF_e2012-2015_n15337_x0272051E_y313694N_v1.0,31.369447,27.205147,EGY,Egypt,gas downstream,1932,1.6015,0,0.000948266,0.00027346,0.000593914,0,346,402,405,375,0,0,3.48259,1.97531,4,0
VNF_e2012-2015_n15727_x0071399E_y044154N_v1.0,4.415403,7.139924,NGA,Nigeria,gas downstream,1552.67,1.49191,0.040708502,0.034328921,0.050159581,0.062608188,0.067091859,98,99,125,137,152,72.449,83.8384,88,89.0511,87.5
VNF_e2012-2015_n15729_x0071549E_y044234N_v1.0,4.423357,7.15486,NGA,Nigeria,gas downstream,1583.31,1.87072,0.093504569,0.091022479,0.080174784,0.084335278,0.117688505,105,124,144,161,153,82.8571,87.9032,93.0556,83.2298,92.1569
VNF_e2012-2015_n15803_x0087125E_y037855N_v1.0,3.785523,8.712477,GNQ,Equatorial Guinea,gas downstream,1512.16,1.26643,0.023650651,0.034884866,0.029689972,0.02943284,0.039737211,68,98,108,140,123,72.0588,79.5918,70.3704,82.8571,78.0488
VNF_e2012-2015_n15959_x0123395E_y061187S_v1.0,-6.118728,12.339454,AGO,Angola,gas downstream,1574.48,2.74266,0.09331759,0.206989724,0.093522767,0.050684412,0.356092984,134,210,156,168,210,68.6567,96.6667,79.4872,78.5714,97.1429
VNF_e2012-2015_n17409_x0303168E_y313522N_v1.0,31.352158,30.316802,EGY,Egypt,gas downstream,1731.1,2.11753,0.033107249,0.023755676,0.057698018,0.030880824,0.033585409,332,392,403,354,373,69.5783,58.9286,66.005,72.0339,82.5737
VNF_e2012-2015_n17410_x0303308E_y313671N_v1.0,31.367096,30.330754,EGY,Egypt,gas downstream,1786.29,3.73553,0.036402123,0.028253084,0.021840511,0.018572436,0.016129239,334,392,393,368,381,91.3174,85.4592,74.0458,61.1413,54.8556
VNF_e2012-2015_n17459_x0317465E_y314734N_v1.0,31.473401,31.746527,EGY,Egypt,gas downstream,1688.44,1.79949,0.036331382,0.019379702,0.026316579,0.011931701,0.005399895,336,394,388,382,387,60.7143,46.9543,67.7835,44.7644,21.7054
VNF_e2012-2015_n17460_x0317527E_y314537N_v1.0,31.453735,31.752737,EGY,Egypt,gas downstream,1497.86,1.6015,0.002649918,0.00083273,0.00084401,0.00345112,0.003352435,323,373,381,366,390,7.12074,1.60858,3.14961,13.388,9.74359
VNF_e2012-2015_n18678_x0515380E_y258841N_v1.0,25.884074,51.537992,QAT,Qatar,gas downstream,1666,1.46873,0.207984791,0.16952062,0.16948158,0.147648232,0.130806654,276,368,368,371,375,100,100,99.4565,100,99.7333
VNF_e2012-2015_n18680_x0515496E_y259043N_v1.0,25.904348,51.549601,QAT,Qatar,gas downstream,1651.6,1.60917,0.234115419,0.182559809,0.12510278,0.108662751,0.111458037,276,364,368,378,378,99.6377,100,99.7283,100,99.7354
VNF_e2012-2015_n18689_x0516082E_y259347N_v1.0,25.934701,51.608167,QAT,Qatar,gas downstream,1703.62,1.57243,0.264842139,0.258243291,0.194626241,0.050403797,0.030229187,290,356,360,357,382,98.9655,96.6292,81.9444,48.1793,33.7696
VNF_e2012-2015_n18787_x0528763E_y251646N_v1.0,25.164588,52.876324,ARE,United Arab Emirates,gas downstream,1582.07,1.53937,0.12227726,0.158768616,0.146986909,0.124831264,0.128893132,282,366,374,347,378,99.6454,100,99.4652,99.7118,100
VNF_e2012-2015_n18976_x0594106E_y226604N_v1.0,22.660402,59.410627,OMN,Oman,gas downstream,1478.68,0.922841,0.028078522,0.030330748,0.029857872,0.02558519,0.032682511,268,351,353,359,343,65.6716,65.2422,69.1218,70.195,73.7609
VNF_e2012-2015_n18977_x0594301E_y226408N_v1.0,22.64081,59.430091,OMN,Oman,gas downstream,1534.96,1.6015,0.00215776,0.000427215,0.001547147,0.000457921,0.002378864,299,358,385,374,356,5.01672,1.67598,4.15584,1.3369,3.93258
VNF_e2012-2015_n19065_x0481773E_y139860N_v1.0,13.985982,48.177277,YEM,Yemen,gas downstream,1641.74,1.8158,0.114444705,0.058370789,0.092030167,0.098774313,0.066827975,228,287,318,315,322,97.3684,89.8955,97.1698,97.7778,86.0248
VNF_e2012-2015_n20730_x0738915E_y427913N_v1.0,42.791297,73.891508,KGZ,Kyrgyzstan,gas downstream,1822.52,1.39531,0,0,0.002988429,0.005273531,0.00620405,327,361,326,281,285,0,0,9.20245,14.2349,17.5439
VNF_e2012-2015_n23933_x1173759E_y361928N_v1.0,36.192806,117.375852,CHN,China,gas downstream,1743.5,1.6015,0,0,0.005174552,8.75E-05,0,250,313,305,264,0,0,0,16.0656,0.378788,0
VNF_e2012-2015_n23958_x1175318E_y387504N_v1.0,38.750371,117.531784,CHN,China,gas downstream,1866.5,1.6015,0,0.000332197,0.000442549,0,0,276,323,345,333,0,0,0.928793,1.15942,0,0
VNF_e2012-2015_n24019_x1178799E_y389289N_v1.0,38.92887,117.879857,CHN,China,gas downstream,1596.33,1.6015,0,0,0.000344149,4.14E-05,0.001312569,244,293,297,267,259,0,0,0.673401,0.374532,2.3166
VNF_e2012-2015_n24123_x1183138E_y313616N_v1.0,31.361582,118.31382,CHN,China,gas downstream,1374.8,1.6015,0.000336488,0.000528574,0.000236186,0.000507326,0,153,246,238,186,0,1.96078,2.43902,0.840336,1.6129,0
VNF_e2012-2015_n24138_x1183980E_y389794N_v1.0,38.979408,118.398008,CHN,China,gas downstream,1719.81,1.6015,0.000318363,0.00550404,0.000166583,0,0,238,290,273,235,0,1.68067,19.3103,0.732601,0,0
VNF_e2012-2015_n24328_x1197573E_y355828N_v1.0,35.582796,119.757274,CHN,China,gas downstream,1706.06,2.66553,0,0,0.01000952,0.016127976,0.014245862,209,286,295,270,251,0,0,6.77966,21.1111,19.5219
VNF_e2012-2015_n24351_x0970716E_y052240N_v1.0,5.223985,97.071616,IDN,Indonesia,gas downstream,1740.58,2.79075,0.017386516,0.023384097,0.025827881,0.042768495,0.060886634,16,39,92,124,116,43.75,51.2821,29.3478,91.9355,95.6897
VNF_e2012-2015_n24352_x0970945E_y052263N_v1.0,5.226329,97.094485,IDN,Indonesia,gas downstream,1641.67,1.6015,0.038465345,0.007109972,0.015546699,0.008795245,0.013475082,13,25,78,94,84,46.1538,16,10.2564,15.9574,9.52381
VNF_e2012-2015_n24923_x1100572E_y199781N_v1.0,19.978094,110.057157,CHN,China,gas downstream,1791.43,1.6015,0,0,0.000244594,0.001293731,0,106,143,209,209,0,0,0,0.478469,3.34928,0
VNF_e2012-2015_n24935_x1132171E_y219055N_v1.0,21.905484,113.217089,CHN,China,gas downstream,1714.53,1.6015,0,0.005144289,0.007150391,0.000880088,0,125,182,195,187,0,0,13.1868,22.5641,1.60428,0
VNF_e2012-2015_n24936_x1132612E_y218762N_v1.0,21.876185,113.261159,CHN,China,gas downstream,1631.27,1.6015,0,0,0.0155816,0.003621691,0.007319082,116,174,185,165,166,0,0,27.027,10.303,14.4578
VNF_e2012-2015_n25278_x1036401E_y012844N_v1.0,1.284375,103.640093,SGP,Singapore,gas downstream,1871.5,1.6015,0.004130672,0,0.000872591,0.000925397,0.000649083,16,29,97,155,98,25,0,5.15464,4.51613,2.04082
VNF_e2012-2015_n25670_x1130660E_y032788N_v1.0,3.278754,113.066035,MYS,Malaysia,gas downstream,1693.56,1.86891,0.078863292,0.085534348,0.061042499,0.176821298,0.079620893,40,36,69,91,61,90,94.4444,81.1594,94.5055,85.2459
VNF_e2012-2015_n25773_x1144429E_y047069N_v1.0,4.706851,114.442868,BRN,Brunei,gas downstream,1633.33,2.18631,0.023829617,0.015239725,0.028257986,0.012736619,0.015003404,45,24,68,101,89,22.2222,20.8333,27.9412,13.8614,20.2247
VNF_e2012-2015_n25775_x1144650E_y046723N_v1.0,4.672315,114.464955,BRN,Brunei Darussalam,gas downstream,1684.24,2.7252,0.057663088,0.035255595,0.057860927,0.081161632,0.057557417,49,61,88,134,112,95.9184,83.6066,95.4545,95.5224,91.0714
VNF_e2012-2015_n25843_x1174709E_y001065N_v1.0,0.106484,117.470916,IDN,Indonesia,gas downstream,1590.04,2.23244,0.073949306,0.064380815,0.06781042,0.06607918,0.062200181,130,129,159,209,171,98.4615,98.4496,98.7421,98.0861,99.4152
VNF_e2012-2015_n25844_x1174714E_y000937N_v1.0,0.093693,117.471392,IDN,Indonesia,gas downstream,1494.72,1.36182,0.057004994,0.046087732,0.059060291,0.049131932,0,131,126,156,198,0,95.4198,96.0317,99.359,94.9495,0
VNF_e2012-2015_n25845_x1174821E_y000833N_v1.0,0.083291,117.482096,IDN,Indonesia,gas downstream,1566.65,2.19889,0.047478478,0.051102692,0.036081882,0.055404962,0.027727989,107,118,135,187,154,94.3925,94.9153,91.1111,88.2353,81.1688
VNF_e2012-2015_n25905_x1167635E_y206113S_v1.0,-20.611325,116.763479,AUS,Australia,gas downstream,1632.7,1.79531,0.229528425,0.120362857,0.031655156,0.05139769,0.023544423,289,314,303,291,332,99.308,78.0255,45.8746,47.079,32.8313
VNF_e2012-2015_n25906_x1167799E_y205956S_v1.0,-20.595603,116.779914,AUS,Australia,gas downstream,1540.86,1.39041,0.104912025,0.184689663,0.070400235,0.07578974,0.052029367,283,320,341,320,335,98.2332,99.0625,96.7742,94.375,91.0448
VNF_e2012-2015_n26317_x1218597E_y389606N_v1.0,38.960635,121.859744,CHN,China,gas downstream,1560,1.6015,0.003159263,0.00035105,0.000315008,0.002867327,0.001446243,263,336,351,309,310,11.0266,1.78571,1.1396,12.945,5.48387
VNF_e2012-2015_n26435_x1206086E_y145006N_v1.0,14.500615,120.608551,PHL,Philippines,gas downstream,1573.67,1.6015,0.001649427,0.000203782,0.001099528,0.00159973,0,69,122,163,214,0,7.24638,1.63934,4.29448,7.94393,0
VNF_e2012-2015_n26487_x1331395E_y024389S_v1.0,-2.438852,133.139496,IDN,Indonesia,gas downstream,1682.57,3.02634,0.108823019,0.067473448,0.057885584,0.025609142,0.039055634,45,42,74,145,59,84.4444,61.9048,45.9459,40,69.4915
VNF_e2012-2015_n26537_x1470173E_y093311S_v1.0,-9.331146,147.017283,PNG,Papua New Guinea,gas downstream,1765.43,4.2621,0,0.003400516,0.224619136,0.022902326,0.021017012,90,87,136,153,140,0,12.6437,74.2647,32.0261,40
